Name,Sail no.,Type,Design,Designer,Region
Advocaat,4567,,Harmonic,Hal Wagstaff,
Aegean,8175,,,R Hartley,
Aegir,T2371,Trailer Yacht,Moonraker 26,A Sedlmayer,
Aela,33333,Keelboat,CNB 66,Briand,
Aeolian,8709,Keelboat,Alan Wright Pilothouse,Alan Wright,
Aeolian,T1673,Trailer Yacht,,N Honey,
Aeolian II,T4014,,Beachcomber,Hart Brothers,
Aeolus,T453,,,R Hartley,
Aeolus,1059,,,J Spencer,
Aeolus II,T2082,Keelboat,Trojan 750,Ferris de Joux A Warwick,
Aeolus Of Nelson,4861,,,Alan Wright,
AFARO,10028,Multi-hull,Lagoon 380 Catamaran,Lagoon,
Affaire D'amour,T2992,,,R Given,
Affinity,E7,,Etchells,E W Etchells,
Affinity,3736,Keelboat,,F Pelin,
Affirmation,9298,Keelboat,Beneteau,Finot-Conq & Associates,
Africa Queen,T2238,,,B Holloway,
Afta-U,T1565,,Redwing,Wallace McNair,
After Burner,7400,Keelboat,Catamaran,M Tennant,
After Hours - Forty Four,6918,,,Denis Ganley,
After Midnight,6856,Keelboat,Ross 830,Murray Ross,
After You,8326,,,Bruce Roberts,
After You II,3672,Keelboat,Lotus 9.2,Alan Wright,
Afterglow,6688,Keelboat,Young 88,Jim Young,
Afterguard,6052,Keelboat,Davidson 35,Laurie Davidson,
Afternoon Delight,T1898,,,Alan Wright,
Against All Odds,6900,,Lotus 10.6,Alan Wright,
Against The Flow,T4096,Trailer Yacht,Elliott 7.4,G Elliott,Bay of Plenty
Agape,5266,,Noelex 30,Bruce Farr,
Agathis,3427,,,John Alden,
Agenna,8314,,,Van der stadt,
Agent 88,5883,Keelboat,Young 88,Jim Young,
Agent Orange,T635,,,Van Giels,
Aggressor,1845,Keelboat,,Dick Carter,
Aggripina,4349,,H 28,L F Herreshoff,
Agilis,T515,,,R Hartley,
Agilita,6034,Keelboat,Farr 1020,Bruce Farr,Wellington
Agitator,8056,Keelboat,Elliott 9,Greg Elliott,
Agony,5282,Keelboat,Lotus 9.2,Alan Wright,Auckland
Ahav-V'shalom,4208,,Nova,Alan Wright,
Ahere,691,Keelboat,Townson 28,D T Townson,
Ahjay,1969,,,Julian,
Ahoy,T1741,,,J Pearce,
Ahoy,6496,,,S Sand,
AHTI,10080,Keelboat,Sloop,Doug Peterson,
Ahu Mairangi,T1394,,,Yachting Month,
Ahurangi,1054,,,W Brambley,
Ai-Ming,T472,,,R Hartley,
Aida,1828,,,Alan Wright,
Aihi,7522,,,D Newick,
Ailsa,1120,,,T le Huquet,
Aimco Aerials,8273,,J 24,Johnston,
Aio-Wira,2989,Keelboat,Gladden 29,John Gladden,
Air Apparent,5071,Other,Compass 790,H Wagstaff,
Air Power,7489,Multi-hull,34' Searunner Trimaran,Jim Brown,Northland
Air Supply,T735,Trailer Yacht,Farr 6000,Bruce Farr,
Airforce,T2095,,Sigrid,D Nixon,
Airini,2699,,Townson 32,D Townson,
Airlift,6118,Keelboat,Young 88,Jim Young,
Airship,4953,Keelboat,Ross 930,Murray Ross,
Aisling,9558,Keelboat,Swan 42,Swan ( Ron Holland ),
Aiwa,1064,Keelboat,H 28,L F Herreshoff,
AJ,,Launch,Riveria 68,Riviera,
Ajax,225,,,Waters,
Ajax II,8163,Other,,D Ganley,
Ajja,T1392,,,F de Joux,
Akarana Express,7365,Multi-hull,GBE cat,M Tennant,
Akaroa,T1184,,,Honey/Trethewey,
Akaroa,2341,,,R Hartley,
Akatea,8710,Keelboat,Cookson 12,Bruce Farr Yacht Design,Auckland
Akatea,8710 - dereg,Keelboat,Cookson 50,Bruce Farr Yacht Design,Auckland
Akatea II,9789,Keelboat,Shaw 11,Rob Shaw,
Akaterere,3382,,,Woollacott,
