Name,Sail no.,Type,Design,Designer,Region
Chaos,T1316,,,Alan Wright,
Char-Ro,4619,,Chico 30,G Mull,
Chara,6653,Keelboat,Farr 1220,Bruce Farr,
Charade,2250,Other,Cavalier 39,R Salthouse,
Charade,T403,,Carvel 25,F Pelin,
Charade II,T2365,Trailer Yacht,Noelex 22,Honey/Trethewey,
Charde,5994,,,Alan Wright,
Chardon,5297,,,Alan Wright,
Chardonnay,L1834,,,G Oliver,
Chardonnay,2156,,,White,
Chardonnay,T993,Trailer Yacht,,,
Charger,2038,Other,,Jones,
Charioteer,5483,Other,Ganley cutter,Ganley,
Charis,T3123,,,TretheweyMarten,
Charisma,T342,,Caribou 20,F Pelin,
Charisma,T1002,Trailer Yacht,Hartley 16,R Hartley,
Charisma,T2002,,Noeleda,N Honey,
Charisma,488,Keelboat,,T K Atkinson,
Charisma II,5237,Other,Farr 1020,Bruce Farr,
Charisma II,T553,,,Owen Woolley,
Charisma IV,T2568,,,Bruce Farr,
Charisma Of Nelson,4918,Keelboat,,Bruce Farr 10.6,
Charisma VI,T1106,Trailer Yacht,Farr 7.5,Bruce Farr,
Charisma VII,T260,,Farr 6000,Bruce Farr,
Charity,2320,,Nova,Alan Wright,
Charlatan,4309,Keelboat,Birdsall 37,B Birdsall,
Charleen,L1812,,,Pelin,
Charleston,5235,,Marauder,Alan Wright,
Charleston,7643,Multi-hull,,Seb Schmit,
Charleto,2130,,,Alan Wright,
Charley,T3518,Trailer Yacht,Noelex 25,Trethewey/Mart,
Charley Farley,3144,Keelboat,S & S 24,Sparkman & Stephens,
Charley Farley,T1098,Trailer Yacht,Farr 6000,Bruce Farr,
Charlie,T220,Other,,J Brooke,
Charlie,3278,,Cavalier 30,D Peterson,
Charlie Brown,1726,,,R Salthouse,
Charlie Girl,2729,Keelboat,H 28,L F Herreshoff,
Charlie II,T2913,,,Honey/Trethewey,
Charlotte Rose,,Keelboat,Orams 52,,
Charm,839,Keelboat,Townson 30,Des Townson,
Charma,4806,Keelboat,Chico 30,Keith Eade,
Charmaine,1035,,,R Thomas,
Charmaine II,2068,,Townson 28,D T Townson,
Charmonet,9165,Keelboat,Beneteau First 45,P Briand Yacht Design,Auckland
Chartreuse,T1819,,,A Mummery,
Chartreuse,2707,Other,Cavalier 26,D Peterson,
Chase,4673,Keelboat,Lidgard 40,J Lidgard,Auckland
Chaser,3021,Keelboat,,G B Jones,
Chaser,T2296,,,Honey/Trethewey,
Chasing Rainbows,T2284,,,C Jeffrey,
Chasseur,1441,,,Alan Wright,
Chasseur II,2498,,,Owen Woolley,
Chat,401,,H 28,L F Herreshoff,
Chateau Briand,6573,Keelboat,Oceans,P Briand,
Chatham Whisper,6739,Keelboat,Lotus 1280,Alan Wright,
Chattan,8367,,,A Warwick,
Chattan IV,T1782,,Gazelle 24,T Adams,
Chattan V,4626,,Farr 9.2,Bruce Farr,
Chattele,5410,Keelboat,,Alan Wright,
Chavala,3014,,,Alan Wright,
Che,2223,Keelboat,Nova,Alan Wright (Nova28),
Che Sara,T2015,,,P Emeny,
Che'gar,1934,,Pacific 38,A Smith,
Cheap Thrills,8504,,Beneteau 43,Chantiers,
Cheap Transport,5560,Keelboat,Farr 1020,Bruce Farr,Auckland
Checkmate,T1455,,,Honey/Trethewey,
Checkmate II,T2033,,,M Elmes,
Checkmate III,42,Keelboat,Melges 40,Botin Partners,
Checkmate IIII,9747,Keelboat,Beneteau Oceanis 46.1,Pascal Conq,Auckland
Checkpoint,T647,,Aquarius 22,C Jeffrey,
Cheeky Hobson,T753,,,F Pelin,
Cheers,T944,Trailer Yacht,Catalina 7,Alan Wright,
Cheers,5084,Other,Lotus 9.3,Alan Wright,Bay of Plenty
Cheers III,T3715,,Quicksilver,B Holloway,
Cheetah,T3208,,Kestrel,,
Cheetah,8309,,,J Spencer,
Cheetah II,5795,Keelboat,Chico 30,Gary Mull,
Chelli,T1371,,,B Holloway,
Chelsea,T3135,,Farr 6000,Bruce Farr,
Chelsea Hotel,7588,Multi-hull,Cataran,L Crowther,
Chemalion,4794,,H45,L F Herreshoff,
Chemin De Mer,5164,,,Hal Wagstaff,
Cheri,T2275,,,A Warwick,
Cherie,T1197,,,Trethewey/Honey,
Cherita,5550,,Davidson 28,L Davidson,
Chermel,402,Other,,D E Brooke,
Cherrio,T827,,,F Pelin,
Cherub,T3680,,Cherry 16,F Pelin,
Cherub,1137,,,M Smith,
Chesapeake,1692,Keelboat,Cavalier 32,R Salthouse,Auckland
Chesapeake II,6745,Keelboat,,L Giles,
Cheval De Mer,4084,,Trojan 750,Alan Warwick,
Chevalier,T2877,Trailer Yacht,Farr 6000,Bruce Farr,
Chey Ivy,2795,,Coronet 20,J Brooke,
Cheyenne,1950,,,R Salthouse,
Chez Nous,6707,,Whiting 29,P Whiting,
Chezwen,7263,,Trimaran,A Piver,
Chia,4763,,,D E Brooke,
Chianti,2636,Other,,K Atkinson,
Chiara,2109,Keelboat,,H Wagstaff,
Chic,T2835,,Farr 6000,Bruce Farr,
Chic II,T775,,,R Hartley,
Chica,T2666,,,F de Joux,
Chicago,6425,,,Mitchinson,
Chicana,4373,Keelboat,Chico 30,Gary Mull,
Chicane,4927,Keelboat,Chico 30,Gary Mull,
Chick Chack,3033,Other,,Bruce Farr,
Chickadee,3810,Keelboat,Chico 30,Gary Mull,
Chico,4800,,Chico 30,G Mull,
Chico 2,T2245,Trailer Yacht,Coronet 20,J Brooke,
Chico Too,4994,Keelboat,Chico 30,Gary Mull,Auckland
Chico/Bello,8373,Other,,K Eade,
Chicory,6308,,,Gary Mull,
Chicovit,5330,,,Gary Mull,
Chief Weasel,4453,Other,IOR 1/4 ton,A Warwick,
Chieftain,6625,,,Cook,
Chieu Hoi,T2789,Trailer Yacht,,TretheweyMarten,
Chikara,6143,,Chico 30,Gary Mull,
Chikeela,6819,Keelboat,Chico 355,G Mull,
Childs Play,T3325,Trailer Yacht,Noelex 22,Honey/Trethewey,
Chilled,4708,Keelboat,Lotus 10.6,Alan Wright,
Chilli Pepper,T267,Trailer Yacht,Hartley 16,R Hartley,
Chilli Pepper,6931,Keelboat,,Greg Elliott,Northland
Chilli Sauce,4651,Keelboat,Lotus 9.2,Alan Wright,
Chillibin,T437,Trailer Yacht,,Honey/Trethewey,
Chillibin II,T4282,Trailer Yacht,Noelex 22,Alex Trethewey/Noel Honey,Waikato/Thames
Chiloe,7707,,,A Piver,
Chimaga,T2961,,Tasman 20,Alan Wright,
Chimera,8238,Other,,B Roberts,
Chimera Wellington,9291,Keelboat,Hanse 495,Judel / Vrolijk,
Chimo,T3121,,,,
China Doll,1574,Keelboat,Reactor,Paul Whiting,Auckland
China Girl,509,,H 28,L F Herreshoff,
China White,9762,Keelboat,Far East 28R,Simonis Voogd,
Chinchilla,1056,Keelboat,,R L Stewart,
Chinook,T71,,Ventura,Owen Woolley,
Chinook,1230,,,Owen Woolley,
Chinook II,5404,,,Owen Woolley,
Chinook II,T2706,,,F Pelin,
Chione,T665,Trailer Yacht,Farr 6000,Bruce Farr,
Chip Aweigh,6056,Keelboat,Carpenter 29,R Carpenter,
Chippy,6539,Other,Carpenter 29,R Carpenter,
Chips,4078,,Chico 30,Gary Mull,
Chiquita,1558,Other,,Owen Woolley,
Chiquita II,6889,,Chico 355,Keith Eade,
Chiriaco,3020,,Chico 30,G Mull,
Chiron,T617,,,A W Scott,
Chiron,T1322,,Hartley 18,R Hartley,
Chiron,5995,Keelboat,,Alan Wright,
Chit Chat,8485,Keelboat,Chico 30,Gary Mull,Canterbury
Chivas Regal,3968,Keelboat,Bruce Clark 53,Bruce Clark,
Chloe,677,,,W F Crosby,
Chloe II,T326,,,Tucker,
Cho Cho San,3521,Keelboat,Chico 30,Gary Mull,Auckland
Chocolate Dip,T690,,,J Lidgard,
Chocolate Fish,T1064,Trailer Yacht,Elder,Dave Elder,
Chokito,T2013,,Coronet 20,J Brooke,
Chokito,T2150,Trailer Yacht,Beachcomber 22,Hart Brother Marine,
Chokkawalla,8397,,,A Wright,
Cholet,3315,,,D Peterson,
Chortle,5856,,,S H Crawford,
Chriselle,6238,,,D Ganley,
Christabel,3169,,,A Mummery,
Christabel II,T3392,Trailer Yacht,Noelex 22,Honey/Trethewey,Nelson/Marlborough
Christabela,107,Other,,D E Brooke,
Christabelle,3695,Keelboat,Keeler,van der Mear,
Christie,2758,Other,Tracker,A Wright,
Christie,T919,Trailer Yacht,Noelex 25,TretheweyMarten,
Christina,T2955,,,F Pelin,
Christina,1095,,,Burns,
Christina,,Keelboat,Beneteau,Finot,Auckland
Christina II,5941,,,,
Christine,829,,,B Woollacott,
Christopher,8853,Keelboat,Beneteau,Bruce Farr,
Christopher H,5231,Keelboat,,B Askew,
Christy II,53,,,Russet,
Chromium,5420,Keelboat,Young 88,Jim Young,Auckland
Chubasco,1382,Keelboat,Chico 30,Gary Mull,Auckland
Chunky,T784,,Moonraker,,
Chutney,T2672,,Monarch 17,Alan Wright,
Chutzpah,2657,,,J Brooke,
Chuzenji II,T1472,Trailer Yacht,,N Honey,
Chypre,1047,,,H O'Kane,
Ciao Bella,7586,Multi-hull,,Bob Oram,
Cicely,1298,,,Alan Wright,
Cicero,4900,Keelboat,,Philip Rhodes,
Cielito,2971,Keelboat,,Alan Wright,
Cima,9373,Keelboat,,,
Cimara,133,,,E C Paul,
Cimarron,T2885,Trailer Yacht,Noelex 25,TretheweyMarten,Canterbury
Cimba,1594,Other,Townson 32,D T Townson,
Cinder,T1733,,,Alan Wright,
Cinderella,2584,Keelboat,H 28,L F Herreshoff,
Cindy,561,Keelboat,,B S Woollacott,
Cindy Lu,T500,,,R Hartley,
Cindy Sue,L1103,,,Robinson,
Cinnabar,T1605,,,,
Cinnabar,1916,,H 28,L F Herreshoff,
Cinnamon,2162,,,J Brooke,
Cinnamon Girl,3148,,Raven 26,Owen Woolley,
Cinnamon II,3961,,,R Hartley,
Cinzano,T251,,,R Hartley,
Cippolla,T3952,Trailer Yacht,Minetun,Elmes,
Ciranoush,5276,,,E Sayer,
Circe,1007,Other,,J Spencer,
Circuit Breaker,5680,Keelboat,Farr 1020,Bruce Farr,Auckland
Cirrhosis Of The River,T4138,Other,,MacGregor,
Cirro Stratus,3945,,,Bruce Farr,
Cirrus,798,,,Taylor,
Cirrus,T890,,,Hal Wagstaff,
Cirrus,T436,,Hartley 16,R Hartley,
Cirrus Bfg,9421,Keelboat,Standfast 40,Frans Maas,
Cisco,4595,Keelboat,Mull 9.5,Gary Mull,
Citation,4300,Keelboat,Townson 34,D T Townson,
Citrine,T218,,,TretheweyMarten,
Citrus,T3635,Trailer Yacht,Hot Pot,Harold Evans,
City Limits,8118,Keelboat,,K Eade,
City Of Dunedin,4853,,,Childs,
City Slicker,5757,,Ross 35,Murray Ross,
Clair De Lune,1087,,,B Woollacott,
Clansman,2697,Other,Cavalier 32,R Salthouse,
Clappers,T3524,,,Honey/Trethewey,
Clara,9374,Keelboat,Bavaria 33,Bruce Farr,
Clare Reel,T2790,,,Donaldson,
Clare-Buoyant,3917,,Gulf 30,B Birdsall,
Clarene II,6680,,Matangi,B Stewart,
Claret,T1544,,Ventura,Owen Woolley,
Clarion,4269,Keelboat,Birdsall 34,Birdsall,
Clarionet,9177,Keelboat,,Howard Chapelle,
Clarity,5528,,,L F Herrshoff,
Clarity II,9543,Keelboat,Vanderplas,,
Clark Gable,5087,Keelboat,Beale,Ray Beale,Auckland
Classic,6847,,H 36,Herreshoff,
Classic Blue,6362,Other,,P Nelson,
Classic Touch,T3348,,,TrethewayMarten,
Classical Gas,6168,,Whiting 29,P Whiting,
Classique,2515,,H 28,L F Herreshoff,
Classique II,6137,Keelboat,,Alan Wright,
Claudia B,2070,,,R Hartley,
Claymoore,9038,Keelboat,,J & J Design,
Claymore,T946,Trailer Yacht,,,
Clear Circle,3715,,,Alan Wright,
Clear Skies,1766,,,,
Clear Vision,6252,Keelboat,Young 11,Jim Young,
Clear Water,T2963,Trailer Yacht,Merlin,A Mummery,
Clearwater,5494,,Farr 1020,Bruce Farr,
Cleche,T3564,,Carvel 25,,
Cleen Sheets,T4026,,,Jim Young,
Clemente,6239,,,D T Townson,
Clementine,E49,,Etchells,Etchell,
Clementine,521,,,,
Cleo,T81,,,Owen Woolley,
Cleo,3037,Keelboat,Raven 26,Owen Woolley,
Cleo II,T1308,,,Honey/Trethewey,
Cleo III,T2097,,,A Scott,
Cleo IV,T2733,,Farr 6000,Bruce Farr,
Cleo V,T977,Trailer Yacht,Farr 5000,Bruce Farr,
Cleone,T3797,,Kestrel,,
Cleveland Road,T1431,,Aquarius 22,C Jeffrey,
Clever Choice,6360,Keelboat,Farr 1020,Bruce Farr,
Cliche,1071,,,J Spencer,
Clichy,4034,,,L Davidson,
Climax,T1081,Trailer Yacht,,G Coxhead,
Clipper,487,,,,
Clochmerle,4818,,,John Spencer,
Clockwork,9828,Keelboat,Melges 40,Botin,
Clockwork,9635,Keelboat,Bakewell-White 36,Brett Bakewell-White,Auckland
Clockwork,110011,Keelboat,Shaw,Rob Shaw,Wellington
Clockwork Lettuce,T482,,,Bruce Farr,
Clockwork Orange,T2579,,,Honey/Trethewey,
Cloggytoo,6648,,Spencer 32,J Spencer,
Close Encounters,6330,Keelboat,Farr 1104,Bruce Farr,Northland
Close Encounters,T1828,,,Alan Wright,
Cloud,4633,,Townson 34,D T Townson,
Cloud 10,6005,Keelboat,Beale 33,Ray Beale,
Cloud 9,5602,Keelboat,Farr 9.2,Bruce Farr,Auckland
Cloud 9.4,5175,Keelboat,Noelex 30,Noelex,
Cloud Nine,T429,,,Wilcox,
Cloud Nine,L1006,,,F Pelin,
Cloud Nine,4215,Keelboat,Davidson 28,L Davidson,
Cloud Nine II,T263,,,C Jeffries,
Cloudburst,T3408,Other,,Trethewey/Mart,
Cloudless,6844,,,Bruce Roberts,
Cloudrift,3860,,,G F Appleby,
Cloudy Bay,2047,Keelboat,Davidson 31,Laurie Davidson,Bay of Plenty
Cloudy Bay Nz,9613,Multi-hull,Fountain Pajot Lucia 40,Berret Racoupeau,
Cloughwise,T816,,Aquarius 22,C Jeffries,
Clouseau,T3742,,Hartley 18,R Hartley,
Clovelly,T1342,,,R Hartley,
Clovelly,L1830,,,,
Cluaran,2877,,,Carius,
Club Med,T3375,Trailer Yacht,Unknown,Bruce Farr,
Cng,T3685,,Moonraker,A Sedlmayer,
Coalition Split,T4103,Trailer Yacht,Ross 780,Murray Ross,
Cobalt,5893,Keelboat,,A Warwick,
Cobblers,4926,Keelboat,Davidson 28,L Davidson,
Cobra,2039,,,R Hartley,
Cobra,T1699,Trailer Yacht,Hartley 16,Richard Hartley,
Cobweb,2439,Other,,L Davidson,
Cochise,5492,Keelboat,Chico 30,Gary Mull,
Cochrane,1517,,Cavalier 32,R Salthouse,
Cockney's Pride,3597,Other,Raven 26,Owen Woolley,
Coco,9966,Keelboat,Swan 58,German Frers,Otago
Coconut Ice,6691,,Raven 31,Owen Woolley,
Cocoon,7440,,,D Newick,
Cocorico,880,Keelboat,Young 88 - Centreboard,Jim Young,
Cocos Isle,T4142,Trailer Yacht,Hartley 18,R Hartley,
Code,9945,Keelboat,Hanse 460,Berret Racoupeau,Auckland
Code Zero,4960,Keelboat,Lotus 10.6,Alan Wright,
Coeur De Lion,1784,,,van der Stadt,
Coeur De Lion III,3574,Keelboat,Compass 790,Hal Wagstaff,
Cognac,2872,Keelboat,Cavalier 32,R Salthouse,
Cointreau,1690,,Cavalier 32,R Salthouse,
Cointreau,T2640,,,A Warwick,
Cointreau,T3190,,,Honey/Trethewey,
Collateral Damage,9730,Keelboat,,Steve Thompson,
Collingwood,608,,,F Pelin,
Colonial Heritage,3181,,,L F Herreshoff,
Colorcote,6189,Other,,Jim Young,
Colormania,E295,Keelboat,,S Etchells,
Columbia,938,,Diamond,Jack Holt,
Columbia,L1526,Other,,Richard Cole,
Columbia One,L1818,Other,,Pelin,
Columbine,T4093,,Joker 6.7,Ron Given,
Columbus,,Launch,,,
Comanche,576,Other,,Seaborn,
Comanche II,4059,,,J Spencer,
Comber,T1576,,,Honey/Trethewey,
Combined Effort,T4232,Trailer Yacht,Noelex 22,Alex Tretheway/Steve Marten,
Comeocean,2432,,,L F Herreshoff,
Comet,1307,,,Angus Primrose,
Comfort,4590,,,Jim Young,
Comfort Zone,5779,Keelboat,Farr 40,Bruce Farr,
Comfortably Numb,5343,Keelboat,Tracker,Alan Wright,
Comfortably Numb II,7667,Multi-hull,Salina 48,Berret-Racoupeau,
Command,1196,Keelboat,Reactor,Paul Whiting,
Commotion,4970,,Chico 30,Gary Mull,
Communique,5437,Keelboat,Farr 9.2,Bruce Farr,
Communique,,Launch,Maritimo 60,,
Communique`,9704,Keelboat,Oceans 350,Phillipe Briand,
Compadre,5825,Other,Mull 40,Gary Mull,
Companion,1205,,,J Young,
Compass Point,5453,Keelboat,Compass 790,HAL Wagstaff,
Compass Rose,4212,Keelboat,Compass 790,H Wagstaff,
Compass Rose,8345,Keelboat,,S Kaufman,
Compass Rose,4925,Other,H 28,L F Herreshoff,
Compass Rose II,9220,Keelboat,Beneteau,Groupe Finot (Beneteau 473),
Compromise,1848,Keelboat,Harmonic,H Wagstaff,
Compromise,T1488,,,R Hartley,
Compromise II,3643,,,Owen Woolley,
Compromise II,T1770,,,R Hartley,
Computer,T2667,Other,Farr 6000,Bruce Farr,
Con Spirito,T2500,,Aquarius 22,C Jeffrey,
Con'orza,1269,,,P Cibert,
Conamor,1327,Other,Cavalier 32,R Salthouse,
Conbat,T764,,,TretheweyMarten,
Concept,4414,Keelboat,,Robertson,
Concerto,1787,,Raven 26,Owen Woolley,
Concerto#2,8490,Keelboat,Catalina 36 mk2,Catalina,
Conchita,3759,Keelboat,S & S 24,Sparkman & Stephens,
Conchita,T2565,,,C Jeffries,
Conclusion,5771,,Marauder,Alan Wright,
Concorde,L1527,,,Lindstrom,
Concrete & Steel,T2563,Trailer Yacht,Noelex 22,Honey/Trethewey,
Condor,L1071,,,F Pelin,
Condor,7168,Multi-hull,Trimaran,G A Magnell,
Condor of Auckland,9758,Keelboat,Hanse 388,Judel/Vrolijk,Auckland
Conexpo,T928,Trailer Yacht,Farr 6000,Bruce Farr,
Confederate,2085,Keelboat,Cavalier 32,Salthouse,
Confederate II,6286,Keelboat,,Alan Wright,
Conflict,T1774,,Noeleda,N Honey,
Conflict,1440,Keelboat,Reactor,Paul Whiting,
Confusion II,8057,,,R Hartley,
Conglomerate,T2256,,,Honey/Trethewey,
Connemara,T2285,,,W McNair,
Connie V,L1104,,,Lane,
Connoisseur,4557,Other,,Reynolds,
Connotation,T1193,Trailer Yacht,Noelex 25,TretheweyMarten,
Connvella,9822,Keelboat,Roberts 45 Mauritius,Bruce Roberts,
Conquelle,1741,,Saraband,John Spencer,
Conquero,1375,,Cavalier 32,R Salthouse,
Conquero II,1464,,,C A Smith,
Conquest,1289,,,D T Townson,
Conquest,L1813,,,Pelin,
Conquest,T1089,Trailer Yacht,Gazelle 24,T Adams,
Conquest II,T292,Trailer Yacht,Catalina 7,A N Wright,
Conquest Too,4527,,Variant,Alan Wright,
Conquilla,3766,Keelboat,Demon 10,John Lidgard,
Conquistador,T619,,Hartley 18,R Hartley,
Conquistador,3669,,Nova,Alan Wright,
Conspirasea,2641,,,J Brooke,
Conspirito,T1904,,,L Dymock,
Constance,T611,Trailer Yacht,Noelex 22,Honey/Trethewey,
Contagious,T3559,,Joker 820,R Given,
Contender,1511,Keelboat,Half Ton Cup,Taraboccia,
Content II,365,Keelboat,,J Spencer,
Contention,5539,,Davidson 28,L Davidson,
Contentment,5441,,Lotus 9.2,Alan Wright,
Contessa,186,Other,Townson 36,D T Townson,
Conticream,T396,,Cirrus 20,Wilcox,
Contour Of Cuthill,2715,Keelboat,Birdsall 42,B Birdsall,Auckland
Contrail,1329,,Cavalier 32,R Salthouse,
Contrail,1183,,Stiletto,J Spencer,
Contrast,5674,Keelboat,Lotus 9.2,Alan Wright,
Convergence,T3864,Trailer Yacht,Elliott 7.4,Greg Elliott,
Convicts On Day Leave,E371,Other,Etchells,Skip Etchells,
Coo-ee,9863,Keelboat,Elvstrom Coronet 38 Mk 2,P Elvstrom,Nelson/Marlborough
Cooinda,T2744,,,W McNair,
Cool Bear,6557,Keelboat,Farr 9.2,Bruce Farr,
Cool Blue,8768,Keelboat,Bavaria 44,J & J Design,
Cool Cat,7668,Multi-hull,Kelsall 34,Derek Kelsall,Auckland
Cool Change,8359,Keelboat,Ross 850,Murray Ross,
Cool Change,3683,Keelboat,,Mike Orchard,
Cool Change,T675,,,R Hartley,
Cool Change,,Launch,Maritimo 550,,
Cool Change II,7553,Multi-hull,,Derek Kelsall,
Cool Change III,9525,Keelboat,South Seas Cruiser,,
Cool Change Plimmerton,T3721,Trailer Yacht,Noelex 22,Honey/Trethewey,
Cool Running,8651,,,Murray Ross,
Coolstar,4798,,,Besuijen,
Cooltide,9512,Keelboat,Elan,Rob Humphreys,
Copernicus,2506,,Nova,Alan Wright,
Coppelia,4522,Keelboat,Farr 11.6,Bruce Farr,
Copperfield,2942,,Cavalier 32,R Salthouse,
Copperhead,T4033,,Redwing,,
Copplestock,2310,Keelboat,Bavaria 42,J & J,Auckland
Copywright,4876,,,Alan Wright,
Coq Au Vin,3082,Keelboat,S & S 24,Sparkman & Stephens,
Coquelicot,1591,Keelboat,Herreshoff28,L F Herreshoff,Auckland
Coquette,T2642,,Davidson M20,L Davidson,
Coquette,1519,,,J Lidgard,
Coquette,T1188,,,TretheweyMarten,
Corail,1258,Keelboat,,R L Stewart,
Coralie,5347,,Chico 30,Gary Mull,
Corbeau,1905,,Raven 26,Owen Woolley,
Corcovado,8087,,,G Breekeldt,
Cordelia,560,,,L F Herreshoff,
Cordite,1241,Keelboat,Marauder Sport,Alan Wright,
Coriakin,5631,,,C P Childs,
Coriander,5178,Other,Davidson 31,L Davidson,
Corina,958,,,van de Stadt,
Corinne,291,,,Alan Wright,
Corinthia,L1213,,,Shipbuilders,
Corinthian,5775,,,S Craddock,
Corinthian Doors,9997,,,Bruce Farr,
Coriolanus,1612,Keelboat,,John Spencer,
Coriolanus II,4143,Keelboat,Unknown,C Reid and B Rhodes,
Cormoran,8496,,,,
Cormorant,T777,,Catalina 7,Alan Wright,
Cormorant,7096,Multi-hull,,R Hartley,
Corncob,T2911,,,Alan Wright,
Corner Bar Cruiser,4638,Keelboat,Whiting 29,P Whiting,
Corolene,L1403,,,,
Corona,T3219,,Farr 6000,Bruce Farr,
Corona,1593,Keelboat,Townson 32,Des Townson,
Coronet,146,,,Carter,
Coronet I,9174,Keelboat,,Arthur C Robb,
Coronet II,T1134,Trailer Yacht,Coronet 20,J Brooke,
Corporate Raider,T3628,,,TretheweyMarten,
Corranda,2694,Keelboat,,Paul Whiting,
Corsair,7708,,Trimaran,A Piver,
Corsair,718,,,F Lidgard,
Corsair II,1010,Keelboat,,Eric Cox,
Cortez,4579,,,L Davidson,
Coruba,T1030,Trailer Yacht,,,
Coruba II,T2553,,Monarch 17,Alan Wright,
Corvina,T2378,Trailer Yacht,Catalina 7,Alan Wright,
Corvus Corax,6144,Other,Raven 31,Owen Woolley,
Cosa Nostra,6281,Keelboat,Young 88,Jim Young,Auckland
Cosmic,3404,,,L F Herreshoff,
Cosmic Cruz,6829,Keelboat,Beale,R Beale (Beale 12.8),Auckland
Cosmic Raider,6340,,Lotus 950,Alan Wright,
Cosmic Thing,6171,Keelboat,Farr 1020,Bruce Farr,
Cosmos,3290,,,Alan Wright,
Cossack,1305,,,M Sowman,
Costa Brava,1698,,Cavalier 32,R Salthouse,
Costa-Minta,T3783,Other,Trojan 750,Warwick/Dujour,
Cotillion,2058,,,C A Smith,
Cotton Blossom,8403,Other,,Ed Dubois,
Cotton Bud,5828,Keelboat,Farr 1020,Bruce Farr,Auckland
Cotton Cloud,L1374,,,John Gladden,
Cotton Cloud,2660,,,J Gladden,
Cotton Jenny,5074,,Hot Pot,,
Cotton Tail,T1370,,,Honey/Trethewey,
Cotton Tail,1795,Keelboat,H 28,L F Herreshoff,
Cottontail,L1833,,,U S Marine Corp,
Count Phelax,3739,,,R Hartley,
Countdown,2591,Keelboat,Lidgard 36,J Lidgard,
Counterfeit Kauri,5293,,Marauder,Alan Wright,
Counterpoint,2496,,,H Wagstaff,
Countess,885,Keelboat,,Oliver/Gilpin,
Counting Stars,,Multi-hull,Leopard 56,Leopard,
Country Boy,T3591,,,TretheweyMarten,
Country Club,6140,Keelboat,,Alan Wright,
Country Cousin,5329,Other,Farr 11.6,Bruce Farr,
Country Girl,7436,,,Ron Given,
Country Mist,3723,,,A Warwick,
Country Mist,T3723,,Trojan 750,A Warwick,
Country Toad,6993,,,Keith Eade,
Coup D'etat,4648,,,J Spencer,
Coup D'Etat II,6265,Keelboat,Farr 1020,Bruce Farr,Auckland
Coup dâ€™Ã©tat lll,9278,Keelboat,Beneteau Oceanis 370,Finot-Conq & Associates(Oceanis 37),Waikato/Thames
Coup De Crace,T3995,,,,
Courage,2126,Keelboat,Pacific 38,A Smith,
Courageous,5509,,Whiting 29,P Whiting,
Courante,2919,,,Shaw,
Course Cutter,2282,,Stiletto,J Spencer,
Courtesan,1611,Keelboat,Cavalier 32,R Salthouse,
Cousin Jinny,T2318,,Sigrid,Nixon,
Coyote Blue,T244,Trailer Yacht,,Harold Evans,
Crac-A-Jac,2861,Keelboat,Farr 727,Bruce Farr,
Crack-A-Jack,T1438,,,R Hartley,
Crack-A-Jack,7034,Multi-hull,Trimaran,A Piver,
Cracka,3571,Keelboat,Lidgard 30,Kevin Lidgard,
Crackajack,T1251,Trailer Yacht,Hartley 16,Richard Hartley,
Crackerjack,T2575,,Mallard 22,H Wagstaff,
Crackerjack,3502,,Lotus 9.2,Alan Wright,
Crackerjack II,3575,,Raven 26,Owen Woolley,
Crackerjack IV,T1087,Trailer Yacht,Farr 6000,Bruce Farr,
Crackerjack V,T3538,,Gazelle 24,T Adams,
Cracklin' Rose,T1632,,,E Garratt,
Cracklin' Rosie,3094,Keelboat,Cavalier 30,D Peterson,
Cracklin' Rosie II,T2490,,Hartley 16,R Hartley,
Cracklin' Rosy,T1348,,,D Nixon,
Craigivar,T610,Trailer Yacht,Noelex 25,Trethewey/Martin,
Cranberry,5642,,,L Davidson,
Crash Start,T3973,,Hartley 16,R Hartley,
Crazy Diamond,4607,Keelboat,Harmonic,H Wagstaff,
Crazy Horse,6222,Keelboat,Farr 1020,Bruce Farr,
Crazy Legs,5570,Keelboat,,Bruce Farr,
Crazy Train,7609,Multi-hull,,G.Martell,
Crazyhorse,903,Keelboat,"YM ""Seahorse""",Van de Stadt,
Crazymaid,2921,,Gulf 30,B Birdsall,
Creation,5720,Keelboat,Farr 9.2,Bruce Farr,
Credence,5722,Keelboat,,D T Townson,
Credo,3006,,Cavalier 26,D Peterson,
Cree Whiz,T274,,,R Hartley,
Creepy Crawler,7640,Multi-hull,8.5m Open,Kurt Hughes,Auckland
Creme De La Creme,3088,Keelboat,Davidson 28,L Davidson,
Creole,T225,,,R Hartley,
Creole II,3788,,,Alan Wright,
Crescendo,1082,Keelboat,,B Askew,
Crescendo,T3222,Trailer Yacht,Noelex 25,TretheweyMarten,
Crescendo II,T2633,,,Honey/Trethewey,
Crescendo II,2823,,,H Wagstaff,
Crescent,502,Keelboat,,Birdsall,
Crest,8990,Keelboat,Bavaria 46 Cruiser,J & J Design,Auckland
Cresta Dora,L1662,,,R Hartley,
Cresta Dore,L1015,,,R Hartley,
Crewcial Fix,8463,Keelboat,,Richard Edlin,
Crewcut,6591,Keelboat,Beale 31,Ray Beale,Waikato/Thames
Crewless,9530,Keelboat,Class 950,Marc Lombard,
Crewz N,9829,Keelboat,Jeanneau Sun Odyessy 410,Mark Lombard,Waikato/Thames
